"","Country","SPE_489_qa2_1","SPE_489_qa2_2","SPE_489_qa2_3","SPE_489_qa2_5","SPE_489_qa4_2","SPE_489_qa5_1","SPE_489_qa5_2","SPE_489_qa5_4","SPE_489_qa6_3","SPE_489_qa6_4","SPE_489_qa6_5","SPE_489_qa6_6","SPE_489_qa4_4","SPE_489_qa4_5","SPE_489_qa6_1","SPE_489_qa6_2","SPE_489_sd4","SPE_489_qa8_1","SPE_489_qa8_3"
"1","AT",0.400691699604743,0.446146245059289,0.434782608695652,0.467967967967968,0.43687374749499,0.771428571428571,0.777668308702791,0.809944389924763,0.450544015825915,0.399209486166008,0.435692921236291,0.437055837563452,0.339408866995074,0.347399411187439,0.478370221327968,0.327534791252485,0.563974742439349,0.473267326732673,0.478174603174603
"2","BE",0.364082433758587,0.416584887144259,0.426587301587302,0.390268123138034,0.337636544190665,0.816125860373648,0.784429178933595,0.85,0.367764471057884,0.329713721618954,0.377358490566038,0.377008032128514,0.276354679802956,0.256121449559256,0.372266401590457,0.255940594059406,0.446932814021422,0.45343137254902,0.458579881656805
"3","BU",0.121393034825871,0.180625630676085,0.206843718079673,0.162863070539419,0.143371017471737,0.891550232867598,0.854624085163007,0.898166339227243,0.11779324055666,0.122133599202393,0.136318407960199,0.156315789473684,0.0920792079207921,0.08837890625,0.133846153846154,0.132218844984802,0.437727122563594,0.248478701825558,0.23374613003096
"4","CY",0.0688622754491018,0.0941295546558704,0.101642710472279,0.0725806451612903,0.0490981963927856,0.916331994645248,0.892494929006085,0.93186372745491,0.062,0.059,0.0681362725450902,0.0672097759674134,0.0499001996007984,0.0408366533864542,0.0573440643863179,0.0645161290322581,0.407850964737192,0.133266533066132,0.157407407407407
"5","CZ",0.196446700507614,0.276142131979695,0.314524555903866,0.280487804878049,0.247443762781186,0.763299663299663,0.772018970189702,0.822311289245157,0.247946611909651,0.193711967545639,0.260980592441267,0.30427807486631,0.175200803212851,0.131155778894472,0.298530954879328,0.151138716356108,0.429137760158573,0.389296956977964,0.413774973711882
"6","DE",0.336212624584718,0.380730897009967,0.371075484301937,0.375418620227729,0.381921280853903,0.871543653385587,0.83234843510615,0.912475506205095,0.405811623246493,0.311541027351568,0.39906103286385,0.40815627141878,0.276595744680851,0.248339973439575,0.443614130434783,0.205980066445183,0.484988962472406,0.450662251655629,0.454575818303273
"7","DK",0.540526849037487,0.61569416498994,0.590447154471545,0.560179977502812,0.528125,0.870957095709571,0.767809139784946,0.878787878787879,0.696280991735537,0.638548057259714,0.62551652892562,0.637871853546911,0.419354838709677,0.433265925176946,0.673491379310345,0.468328141225338,0.526720106880427,0.694303153611394,0.682281059063136
"8","EE",0.342303552206674,0.382321041214751,0.387417218543046,0.375449101796407,0.316492450638792,0.812785388127854,0.795090715048026,0.838709677419355,0.36443661971831,0.32497149372862,0.356350184956843,0.363517060367454,0.268608414239482,0.247046186895811,0.372931442080378,0.224177071509648,0.472996216030272,0.511025358324146,0.507882882882883
"9","EL",0.103980099502488,0.190854870775348,0.260804020100503,0.178861788617886,0.151866801210898,0.8800792864222,0.878848063555114,0.924317209608424,0.135135135135135,0.126121635094716,0.143283582089552,0.168032786885246,0.092850049652433,0.0816023738872404,0.17979797979798,0.11122244488978,0.362977602108037,0.2624750499002,0.297948717948718
"10","ES",0.0781893004115226,0.119418483904465,0.112095933263816,0.104275286757039,0.113138686131387,0.865277777777778,0.851813826146475,0.903490759753593,0.0978372811534501,0.0865087538619979,0.104747162022704,0.11,0.0645325203252032,0.0598984771573604,0.101880877742947,0.0993820803295572,0.37125748502994,0.15461215932914,0.163157894736842
"11","FI",0.422300706357215,0.505154639175258,0.491709844559585,0.480021598272138,0.428722280887012,0.871769050016784,0.842741935483871,0.902610441767068,0.527777777777778,0.443814432989691,0.538144329896907,0.519955654101996,0.329476861167002,0.350616016427105,0.498949579831933,0.228527607361963,0.518777002326354,0.61734693877551,0.650052465897167
"12","FR",0.236280487804878,0.309859154929577,0.294147843942505,0.276729559748428,0.248178980228928,0.868146653212243,0.832990397805213,0.90357023690357,0.243852459016393,0.208248472505092,0.224593495934959,0.256008359456635,0.187878787878788,0.192230070635722,0.240104166666667,0.175384615384615,0.410913872452334,0.331477732793522,0.343106995884774
"13","HR",0.178,0.223552894211577,0.266064257028112,0.223169508525577,0.20979020979021,0.794743845642049,0.800598205383848,0.817428760768721,0.191924227318046,0.182,0.189243027888446,0.232558139534884,0.155378486055777,0.15273631840796,0.2235,0.167996011964108,0.47487684729064,0.286926147704591,0.306580259222333
"14","HU",0.259720837487537,0.303714859437751,0.288,0.3001998001998,0.238142292490119,0.843021346469622,0.816601049868766,0.844313339888561,0.261044176706827,0.241791044776119,0.282217782217782,0.288211788211788,0.205533596837945,0.203557312252964,0.269461077844311,0.206,0.48180924287119,0.343313373253493,0.340478564307079
"15","IE",0.279693486590038,0.359884836852207,0.345966958211856,0.317958783120707,0.241346153846154,0.854285714285714,0.820414673046252,0.879885605338418,0.28564453125,0.23625843780135,0.283009708737864,0.307389162561576,0.203846153846154,0.175766283524904,0.291059280855199,0.220716360116166,0.450381679389313,0.38743961352657,0.384502923976608
"16","IT",0.232196589769308,0.2475,0.272132796780684,0.266768292682927,0.246887966804979,0.801855533465871,0.78963110667996,0.819169960474308,0.244267198404786,0.231610337972167,0.24500998003992,0.263645726055613,0.193725099601594,0.200199203187251,0.242713567839196,0.183084577114428,0.416584402764067,0.295223577235772,0.304213771839671
"17","LT",0.204756980351603,0.208074534161491,0.270700636942675,0.234913793103448,0.196729957805907,0.799392097264438,0.796429797459664,0.843675822312648,0.203742203742204,0.19730010384216,0.220893970893971,0.233082706766917,0.172764227642276,0.163120567375887,0.22397476340694,0.194270833333333,0.464370145221209,0.322884012539185,0.316508937960042
"18","LU",0.409287257019438,0.475929978118162,0.422657952069717,0.419392523364486,0.381431767337808,0.853023909985935,0.785557986870897,0.876050420168067,0.388888888888889,0.349665924276169,0.407284768211921,0.389929742388759,0.332278481012658,0.305921052631579,0.386206896551724,0.315489749430524,0.552188552188552,0.407327586206897,0.417391304347826
"19","LV",0.197872340425532,0.2259767687434,0.239628820960699,0.209944751381215,0.159849300322928,0.779045643153527,0.767980636237898,0.806473829201102,0.157158234660926,0.149197860962567,0.159804983748646,0.1953125,0.114636642784033,0.0974358974358974,0.17483660130719,0.138354700854701,0.491582491582492,0.278135048231511,0.29035752979415
"20","MT",0.185031185031185,0.213983050847458,0.234607218683652,0.224946695095949,0.17381974248927,0.834016393442623,0.848546315077755,0.85412406271302,0.168067226890756,0.144190871369295,0.147679324894515,0.15924276169265,0.125,0.125,0.160041841004184,0.0977596741344195,0.406653088934148,0.163201663201663,0.185146443514644
"21","NL",0.465069860279441,0.526706231454006,0.534260178748759,0.505081300813008,0.507716049382716,0.892051030421982,0.805333333333333,0.940196078431373,0.621840242669363,0.489468405215647,0.545954045954046,0.541353383458647,0.460539460539461,0.418581418581419,0.551217038539554,0.265066394279877,0.524461839530333,0.670623145400593,0.649801587301587
"22","PL",0.421875,0.456131078224101,0.462765957446808,0.455376344086022,0.418181818181818,0.772604588394062,0.774599931903303,0.779695431472081,0.397703549060543,0.392523364485981,0.412473794549266,0.428104575163399,0.377466251298027,0.384696016771488,0.432033719704953,0.347554630593132,0.490789016336462,0.497888067581837,0.498944033790919
"23","PT",0.132382892057026,0.188980432543769,0.171680497925311,0.16147455867082,0.115625,0.852721088435374,0.865841073271414,0.87003367003367,0.141683778234086,0.123601220752798,0.152749490835031,0.164576802507837,0.107715430861723,0.105394605394605,0.132261410788382,0.114711934156379,0.355423672931091,0.265284974093264,0.264308012486993
"24","RO",0.229756097560976,0.23598820058997,0.240375123395854,0.257228315054836,0.261976047904192,0.749753694581281,0.732059020791415,0.763166503107622,0.2375,0.227772227772228,0.225274725274725,0.247459349593496,0.244047619047619,0.244117647058824,0.237927565392354,0.243890020366599,0.432063492063492,0.31610337972167,0.301706827309237
"25","SE",0.351577909270217,0.492063492063492,0.49402390438247,0.414473684210526,0.406281661600811,0.897886178861789,0.714574898785425,0.953955901426718,0.523100616016427,0.393532338308458,0.493401015228426,0.554831704668838,0.262952101661779,0.295788442703232,0.45681581685744,0.447567567567568,0.562581063553826,0.535538005923001,0.579739217652959
"26","SI",0.185091277890467,0.249746192893401,0.27141382868937,0.242018537590113,0.176923076923077,0.819938962360122,0.851776649746193,0.853090172239108,0.170419651995906,0.185336048879837,0.184584178498986,0.24356333676622,0.133603238866397,0.122593718338399,0.231404958677686,0.115462868769074,0.486895161290323,0.330082135523614,0.337809917355372
