"","Country","qb15_5","qb15_6","qb15_7","qb15_13","qb5","qb6","qb7_2","qb7_4","qb7_8","qb7_9","qb7_12","qb10","qb15_1","qb15_2","qb15_3","qb15_4","qb15_8","qb15_9","qb15_11","qb15_12"
"1","AT",0.537928519328957,0.433369060378707,0.52463768115942,0.485288640595903,0.433008306247743,0.400480256136606,0.869351669941061,0.879174852652259,0.68565815324165,0.691552062868369,0.866404715127701,0.311359026369168,0.421526277897768,0.402958152958153,0.449001051524711,0.753951890034364,0.359722222222222,0.428571428571429,0.490632732414281,0.415352260778128
"2","BE",0.431541218637993,0.306610407876231,0.421880717160629,0.468668891360771,0.389570552147239,0.413054968287526,0.785501489572989,0.872889771598808,0.601787487586892,0.637537239324727,0.915590863952334,0.327,0.350606394707828,0.354098360655738,0.416053277252015,0.791580400276052,0.302488608482299,0.40819209039548,0.433578689099194,0.412127814088598
"3","BU",0.246239113222486,0.181652046783626,0.23888276368982,0.252004581901489,0.178705793829947,0.255842558425584,0.634241245136187,0.692607003891051,0.479571984435798,0.512645914396887,0.79863813229572,0.350325379609544,0.194540561322568,0.151752423564504,0.189726284214473,0.637566137566138,0.160831509846827,0.157437567861021,0.222591362126246,0.176964149504195
"4","CY",0.303030303030303,0.247899159663866,0.290972222222222,0.362068965517241,0.150234741784038,0.203933747412008,0.626984126984127,0.734126984126984,0.474206349206349,0.464285714285714,0.763888888888889,0.458917835671343,0.161680911680912,0.150675195451315,0.130404463040446,0.420081967213115,0.148382559774965,0.140495867768595,0.195071868583162,0.183222958057395
"5","CZ",0.376764386536374,0.368686868686869,0.347133757961783,0.440847322142286,0.260103626943005,0.381451612903226,0.831168831168831,0.899100899100899,0.445554445554446,0.592407592407592,0.873126873126873,0.437044745057232,0.257889009793254,0.235930735930736,0.298566308243728,0.705344585091421,0.259615384615385,0.276108726752504,0.422514619883041,0.352811466372657
"6","DE",0.447048611111111,0.384204609331085,0.414541190266784,0.433930093776641,0.431812515582149,0.370229007633588,0.897771952817824,0.935779816513762,0.697903014416776,0.659239842726081,0.941022280471822,0.414323962516734,0.391420197175593,0.381681439699167,0.50515995872033,0.88785046728972,0.287391526288923,0.411643482740855,0.560641324023791,0.487891156462585
"7","DK",0.371053710537105,0.509667440061872,0.467150342603789,0.587799564270152,0.586369770580297,0.37251828631139,0.798245614035088,0.866471734892788,0.738791423001949,0.704678362573099,0.927875243664717,0.458870168483647,0.507987220447284,0.481906750173974,0.676820728291317,0.917943479741233,0.507550644567219,0.645173041894353,0.771499644633973,0.71509009009009
"8","EE",0.483208020050125,0.396505376344086,0.423094271538115,0.440825190010858,0.392434988179669,0.457988980716253,0.909090909090909,0.86013986013986,0.681318681318681,0.649350649350649,0.912087912087912,0.405433646812957,0.368493150684931,0.367989056087551,0.497783687943262,0.801476301476301,0.290295358649789,0.420866489832007,0.472579263067695,0.413461538461538
"9","ES",0.392364793213149,0.241009681881051,0.380202868135712,0.46843853820598,0.166163141993958,0.313775510204082,0.714003944773176,0.785009861932939,0.553254437869823,0.50887573964497,0.831360946745562,0.531872509960159,0.17981072555205,0.171029668411867,0.258430954916578,0.447786998616874,0.203371970495258,0.239020878329734,0.368100358422939,0.229685807150596
"10","FI",0.479194042925975,0.46065100947672,0.476490344248531,0.524832214765101,0.623994403637635,0.447170900692841,0.969215491559086,0.966236345580934,0.719960278053625,0.807348560079444,0.987090367428004,0.560682046138415,0.594424813506086,0.575539568345324,0.656439393939394,0.871657754010695,0.37431693989071,0.638379204892966,0.678983833718245,0.51638689048761
"11","FR",0.36,0.239383690341977,0.340996168582375,0.388957055214724,0.338929695697796,0.347914252607184,0.844054580896686,0.917153996101364,0.61598440545809,0.675438596491228,0.953216374269006,0.436127744510978,0.330282227307399,0.305618830675778,0.406320541760722,0.878598681928547,0.248275862068966,0.370327102803738,0.453672942045035,0.334489402697495
"12","EL",0.413528591352859,0.216271884654995,0.358341897910243,0.319692200069955,0.181298351833165,0.408902691511387,0.368055555555556,0.561507936507937,0.424603174603175,0.415674603174603,0.822420634920635,0.65965965965966,0.183350895679663,0.163378331602631,0.199383350462487,0.449783116449783,0.172097759674134,0.212335692618807,0.307008547008547,0.23025856044724
"13","HR",0.316518298714144,0.244817374136229,0.290386521308226,0.374747474747475,0.168797115699771,0.233316733067729,0.598639455782313,0.730806608357629,0.450923226433431,0.533527696793003,0.741496598639456,0.416915422885572,0.19235836627141,0.201581027667984,0.255644090305445,0.429003021148036,0.242242242242242,0.207472959685349,0.256053067993366,0.261710794297352
"14","HU",0.413111342351717,0.249916247906198,0.410412440838404,0.444097222222222,0.240497813656239,0.289726720647773,0.769980506822612,0.837231968810916,0.592592592592593,0.690058479532164,0.892787524366472,0.26195219123506,0.290212183436003,0.253756830601093,0.302968960863698,0.647371922821025,0.260752688172043,0.330272108843537,0.326929558476576,0.296639231824417
"15","IE",0.421134421134421,0.302651515151515,0.399770904925544,0.496779388083736,0.334782608695652,0.328036322360953,0.860373647984267,0.837758112094395,0.672566371681416,0.662733529990167,0.871189773844641,0.35910478128179,0.346650998824912,0.338413442751075,0.342933947772657,0.670905587668593,0.282714660667417,0.351619047619048,0.417151726814125,0.350230414746544
"16","IT",0.453046594982079,0.320152618799861,0.412764481442941,0.461265103056148,0.255861365953109,0.341728525980912,0.748039215686275,0.757843137254902,0.51078431372549,0.515686274509804,0.797058823529412,0.510791366906475,0.278236914600551,0.251882272416153,0.268916155419223,0.632231404958678,0.254196642685851,0.271028037383178,0.336096718480138,0.295059151009047
