"","Country","ESS_contplt","ESS_donprty","ESS_pbldmna","ESS_pstplonl","ESS_volunfp","ESS_medcrgvc","ESS_fairelcc","ESS_dfprtalc","ESS_votedirc","ESS_gptpelcc","ESS_psppsgva","ESS_psppipla","ESS_trstprl","ESS_trstlgl","ESS_trstplc","ESS_trstplt","ESS_trstprt","ESS_trstep","ESS_trstun","ESS_cttresac","ESS_rghmgprc"
"1","AT",0.21482602118003,0.0921052631578947,0.0897177419354839,0.209701869631127,0.280666330136295,0.682794042116076,0.806115107913669,0.652789256198347,0.489788550799381,0.554759414225941,0.320586760280843,0.320367573011078,0.485858077503775,0.628707893413776,0.673557451078776,0.302815485168426,0.292738275340393,0.392401215805471,0.438744257274119,0.680969571944301,0.673144329896907
"2","BE",0.199098422238918,0.0687593423019432,0.0777860882572924,0.165419161676647,0.267763649962603,0.722322775263952,0.729554043839758,0.594207317073171,0.405832693783576,0.529692307692308,0.320382882882883,0.298913043478261,0.481956027293404,0.543285821455364,0.642301943198804,0.411319340329835,0.402100525131283,0.487234042553191,0.530799069045772,0.577328244274809,0.661485974222896
"3","BU",0.0818079940231603,0.0165475742760436,0.064131245339299,0.102621722846442,0.043754674644727,0.41114435302917,0.353883861236802,0.362998102466793,0.241817496229261,0.329943502824859,0.24486105824134,0.174093655589124,0.233704942400595,0.289701492537313,0.446908552388004,0.2099925980755,0.214094955489614,0.420982482863671,0.433333333333333,0.249475262368816,0.654718388660947
"4","CY",0.271147161066049,0.108265424912689,0.168408826945412,0.210220673635308,0.379350348027842,0.501965317919075,0.670023148148148,0.41443661971831,0.383003492433062,0.294179278230501,0.223306544202067,0.211582568807339,0.356192660550459,0.440689655172414,0.443202764976959,0.19345579793341,0.181797235023041,0.446535796766744,0.369896193771626,0.476450116009281,0.553667054714785
"5","CZ",0.106417546709992,0.0312246553122466,0.0628803245436105,0.130540870272468,0.0568412505075112,0.704351429755491,0.696231155778894,0.553908241291419,0.532386604493429,0.494488851493479,0.315822519882796,0.251240694789082,0.468680182043856,0.54826883910387,0.644869706840391,0.383952633728052,0.383012689316414,0.464879696074293,0.499826989619377,0.53935860058309,0.738351555929352
"6","DE",0.144659182964935,0.0750057964293995,0.0912037037037037,0.192374550932901,0.250202710529364,0.79224455810634,0.81525564803805,0.600347596787726,0.399987861131343,0.570264965652601,0.349756549965221,0.350940329695844,0.513424465474939,0.614149072670011,0.670694266775206,0.374729115693813,0.377721903870892,0.42482880755608,0.455542368858296,0.658436709623028,0.691890258641528
"7","EE",0.17780661907852,0.0395590142671855,0.0265888456549935,0.1284046692607,0.183527885862516,0.72257217847769,0.716732542819499,0.568459986550101,0.450663129973475,0.463698164513936,0.313070404172099,0.280944625407166,0.506040709126724,0.629473684210526,0.735202086049544,0.398952879581152,0.381675392670157,0.478302532511978,0.512825933756166,0.609732693625771,0.576779773785762
"8","ES",0.207797961896323,0.12549889135255,0.212765957446809,0.284570920409071,0.237799467613132,0.646627958910228,0.748404255319149,0.591857849752587,0.404843820733364,0.48390134529148,0.265114739629303,0.204273693534101,0.388547237076649,0.437555555555556,0.628603006189213,0.19370288248337,0.191829484902309,0.440277156906571,0.466111611161116,0.37399643175736,0.550835969272481
"9","FI",0.231746031746032,0.0640456563094483,0.0304375396322131,0.193650793650794,0.324238578680203,0.83974358974359,0.92842574888464,0.729351316634554,0.618040233614536,0.742820347714102,0.360969387755102,0.438057324840764,0.656289707750953,0.752828989192626,0.833756345177665,0.543348185868873,0.545952836201402,0.563683527885863,0.660974025974026,0.781847545219638,0.741806451612903
"10","FR",0.139888494678155,0.0399797570850202,0.103238866396761,0.184903748733536,0.255437531613556,0.644082687338501,0.717290458618872,0.506806282722513,0.384513742071882,0.504457572502685,0.311082474226804,0.276030927835052,0.454308093994778,0.521122448979592,0.636345177664975,0.389646335212711,0.339411157024793,0.439482200647249,0.517483660130719,0.442544316996872,0.586325237592397
"11","EL",0.0927128427128427,0.028800583302953,0.10018018018018,0.21914816163087,0.0825522710886806,0.499927483683829,0.726287164612038,0.562322015334064,0.37125726744186,0.54947138169887,0.230453050785532,0.224274163910327,0.428602227811714,0.643036611629576,0.674017155110793,0.361240588024382,0.351328068916009,0.453150481838399,0.458131618759455,0.601405405405405,0.585254299304793
"12","HR",0.0976537729866836,0.0183893468611287,0.0279010779961953,0.0756035578144854,0.0970812182741117,0.580052151238592,0.555650459921156,0.52201713909031,0.42053982883476,0.309331568497684,0.161640726329442,0.179838709677419,0.320616570327553,0.293894601542416,0.517613273771538,0.219255455712452,0.229748873148744,0.42886393659181,0.45863453815261,0.297918022121015,0.66914963744232
"13","HU",0.0565002742731761,0.0150083379655364,0.0115384615384615,0.0781938325991189,0.0356946732564525,0.532501386577926,0.573566513761468,0.51276473955352,0.529602686066032,0.491884057971014,0.254166666666667,0.2263942573164,0.4681592039801,0.543502509760178,0.628509011469143,0.416584022038567,0.411325966850829,0.519334480780264,0.541516245487365,0.517610768367919,0.610044642857143
"14","IT",0.179864253393665,0.0503678551216752,0.0689655172413793,0.11136235161108,0.18361581920904,0.70453488372093,0.747259870359458,0.600708382526564,0.666410861865407,0.597742127153892,0.320869565217391,0.290801614763552,0.493202146690519,0.57283304246655,0.666970907016543,0.420978196817914,0.407841981132075,0.538248267170762,0.56828025477707,0.609112854556427,0.639929742388759
"15","LT",0.112952968388589,0.0454719144058082,0.100843558282209,0.159431425278525,0.190095238095238,0.546590909090909,0.573868555686738,0.428571428571429,0.426042486231314,0.397323888232979,0.179176289453426,0.174846035411855,0.419992340099579,0.512408194820255,0.651795263559969,0.320107238605898,0.312202609363008,0.476233009708738,0.492871445734882,0.45216205687573,0.495560747663551
"16","LV",0.0751374465485644,0.0537897310513447,0.0463697376449054,0.143206854345165,0.129640900791236,0.646724890829694,0.602911392405063,0.517135023989034,0.524557956777996,0.485646900269542,0.301214196762142,0.234754200373367,0.375761266747868,0.511041796631316,0.654562155541947,0.338630806845966,0.319593345656192,0.493633952254642,0.524436090225564,0.441751269035533,0.585454545454545
