"","Country","EWC_osh_risk","EWC_work_life_balance"
"1","AT",0.719842164599775,0.774647887323944
"2","ES",0.541551246537396,0.695340501792115
"3","FI",0.773445732349842,0.731613129717395
"4","FR",0.66135582630428,0.685509056839475
"5","HR",0.701567749160134,0.750837988826816
"6","HU",0.737934904601571,0.684624017957351
"7","IE",0.760539629005059,0.749343832020997
"8","IT",0.751283697047497,0.63136
"9","LT",0.738236884802596,0.670617816091954
"10","LU",0.685735512630015,0.71980319803198
"11","LV",0.59585201793722,0.655468458379992
"12","BE",0.69388240895025,0.716516800757217
"13","MT",0.706043956043956,0.728967712596635
"14","NL",0.7890625,0.730968218773097
"15","PL",0.705350938151494,0.676956873627009
"16","PT",0.657768286171917,0.680741136647069
"17","RO",0.706111111111111,0.753141167775314
"18","SE",0.526780784097184,0.77147577092511
"19","SI",0.715652506697283,0.720294827805312
"20","SK",0.730596175478065,0.707448789571695
"21","BU",0.669662921348315,0.659594267634469
"22","CY",0.723655121591746,0.676218466813617
"23","CZ",0.752525252525252,0.688676075268817
"24","DE",0.694680592664562,0.738343434343434
"25","DK",0.809972299168975,0.792355751561926
"26","EE",0.690117252931323,0.752873563218391
"27","EL",0.701734750979295,0.625975473801561
