country_name_off,country_name_lt,country_code_nuts,country_code_iso,country_code_wb_a3,method,company,income_group,incpp,current_term_start,current_term_end,sample_size,A,A1,A2,A3,B,B1,B2,D,D1,D2,E,E1,E2,E3,F,PR,CL,v2x_liberal,v2xlg_legcon,v2psoppaut,v2cltrnslw,v2lgqstexp,v2lginvstp,v2lgoppart,v2x_jucon,v2juhcind,v2juncind,v2lgotovst,v2x_polyarchy,v2x_suffr,v2xel_frefair,v2x_elecoff,v2xdd_dd,v2elembaut,v2elembcap,v2elrgstry,v2elvotbuy,v2elirreg,v2elintim,v2elpeace,v2x_libdem,v2x_freexp_altinf,v2x_frassoc_thick,v2merange,v2meslfcen,v2mecrit,v2cldiscm,v2cldiscw,v2psbars,v2cscnsult,v2exrescon,v2jucomp,v2juhccomp,v2mecenefm,v2meharjrn,v2cseeorgs,v2csreprss
Österreich,Austria,AT,AUT,AUT,Online,Bilendi&Respondi,H,1329,12/1/2021,1/1/2025,2250,1,1,1,1,0.9375,1,1,0.875,0.75,0.75,1,1,1,1,0.9375,0.925,0.9333333333333333,0.5890861678004535,0.656481228668942,0.8343521949088379,0.6635121291668706,0.6589914404423479,0.5274852488001194,0.6241610346331132,0.5824627192982457,0.5094970845185844,0.4812775330396476,0.620177156292258,0.4328597662771285,0.4841409691629956,0.5039739292364991,0.4539363484087102,0.07394897959183673,0.5988888848596057,0.7421466509262702,0.761647638674013,0.7019428496713381,0.778753124821098,0.8086093838326739,0.7613599141945139,0.4022194690265487,0.6070762527233116,0.5300980392156863,0.6245048392225291,0.5980110338007469,0.6121831269963938,0.5644503891016971,0.5694465679323072,0.5745373038593219,0.5680534026147429,0.731640352489422,0.5503228349426396,0.5608902654682055,0.7799597503494561,0.5440540651527329,0.464228895692644,0.5287941600576785
Belgique / België,Belgium,BE,BEL,BEL,Online,Bilendi&Respondi,H,49,10/1/2020,10/1/2028,1500,1,1,1,1,1,1,1,0.9375,1,0.75,1,1,1,1,0.9375,0.975,0.95,0.846332512315271,0.8257903225806452,0.8645999323172155,0.7510441767068273,0.8743018940100376,0.625529306312525,0.747489908887206,0.9148850000000001,0.7358259270609868,0.8718781497480202,0.6226762024149016,0.5283409490333919,0.51895,0.7210584677419355,0.7504472271914132,0.004821138211382114,0.7152545549882888,0.6992544365389877,0.7452119170065615,0.663360184328453,0.7000432043029544,0.7526121656600518,0.7049435845153954,0.4918523725834798,0.840225,0.7964946695095949,0.7661873657838224,0.7388194444444445,0.6935822414951481,0.7396265231840481,0.642549356223176,0.8424238327023617,0.6207028349645629,0.8701492091912861,0.7145316434446869,0.7279245843230405,0.8326354777932856,0.7496740510794413,0.7687317275747508,0.6842845443716499
България,Bulgaria,BU,BGR,BGR,Face-to-Face,Alpha Research,UM,9999,6/1/2023,6/1/2027,1500,0.9166666666666666,1,1,0.75,0.875,1,1,0.8125,0.5,0.75,0.9166666666666666,1,1,0.75,0.625,0.825,0.7666666666666667,0.4624333333333333,0.46257894736842103,0.4981643452211751,0.3787465131461808,0.5057386063981683,0.42100744036239146,0.40561399165683465,0.4909586206896552,0.4665822990983886,0.44121297882376304,0.46265431344268715,0.3046080508474576,0.7537931034482759,0.35264171122994653,0.5064935064935064,0.07379674796747968,0.26754491146754705,0.5518950437317784,0.6049324854964153,0.32230019205200183,0.30470919967322846,0.593367681498829,0.6119628555463906,0.23831289640591966,0.41629,0.477413698630137,0.44370274855120073,0.3812507482085749,0.3841409381157051,0.47016824294156767,0.4244676631641261,0.5515381187028023,0.33602427665899903,0.4893001574414226,0.4541848766736323,0.5751607062770959,0.3453476590797633,0.3288883328799598,0.4382223098147418,0.5536416955209417
Κύπρος,Cyprus,CY,CYP,CYP,Face-to-Face,Pulse Market Research,H,2652,2/1/2023,2/1/2028,1000,1,1,1,1,0.9375,1,1,0.9375,1,1,0.9166666666666666,1,0.75,1,0.9375,0.95,0.9,0.5646774193548387,0.6490650406504065,0.7008148125235216,0.5141879947198784,0.5113474743057073,0.5355869575942644,0.7005444126074499,0.7408455284552846,0.5855141036853213,0.6164901929796835,0.6024366328196492,0.42011,0.5853658536585366,0.4132673611111111,0.5466666666666666,8.130081300813008e-4,0.6178418076087825,0.4888227842433916,0.758588148861247,0.5665472497168464,0.7341225920362611,0.7951463700234193,0.7457028443711252,0.35209666666666667,0.5681788617886179,0.6058430656934307,0.6134123062776798,0.5008931924525238,0.5452351501954132,0.5263413862181033,0.3955769566279354,0.7306285826514295,0.34805007010583094,0.6216831282010225,0.590603935248686,0.6961551088194967,0.5710951576793668,0.5121194079162465,0.5760554250060773,0.5669811686205011
Česko,Czechia,CZ,CZE,CZE,Online,Ipsos,H,466,12/1/2021,12/1/2025,2000,1,1,1,1,0.9375,1,1,0.9375,1,0.75,1,1,1,1,0.875,0.9,0.9333333333333333,0.4882542372881356,0.47372413793103446,0.5695503819790441,0.46500481564266116,0.5380932664802565,0.4174048139130658,0.48703420214390647,0.47623809523809524,0.4466354362768706,0.43351674723165007,0.4369832400487301,0.48863664596273293,1,0.6154466403162056,0.7239057239057239,0.018257142857142857,0.4510525495088102,0.8046863189720334,0.8338751945774469,0.7562270992122768,0.7948512984484207,0.72829386763813,0.8266799114256741,0.3816880733944954,0.49593191489361704,0.5006349206349207,0.5363164573436584,0.48736654854078143,0.4481130773265604,0.582741310704596,0.5341292991280369,0.5449194524544757,0.39683165932256825,0.4831677821830016,0.41325691263579456,0.5091369754552653,0.4450151627066884,0.4479584899367601,0.5099233442043342,0.6114513068410045
Deutschland,Germany,DE,DEU,DEU,Online,Bilendi&Respondi,H,383,12/1/2021,12/1/2025,7800,1,1,1,1,0.9375,1,1,0.875,1,0.75,1,1,1,1,0.875,0.975,0.9166666666666666,0.6070616016427105,0.6230714285714286,0.7318859927243601,0.5666468259087128,0.7909032632960767,0.5425150298538977,0.724027898788298,0.7547370689655173,0.6567599117961659,0.6510122140337232,0.6270618219062252,0.41163875205254513,0.5591304347826087,0.4765092250922509,0.4209650582362729,0.04657142857142857,0.6019570636754482,0.6804509429016933,0.7171450846028502,0.7098300520965445,0.5949782989283464,0.6681549341047894,0.6184138854429868,0.38236628849270665,0.573059829059829,0.5476955684007707,0.7108384426255019,0.512924740813114,0.6041959888564676,0.5031635262827417,0.5088917808851354,0.542558620535929,0.5135910681499256,0.6074502759564374,0.6062883055243707,0.7275618599107245,0.7105609237055555,0.536889344237152,0.49844961240310076,0.649899421073643
Danmark,Denmark,DK,DNK,DNK,Online,Bilendi&Respondi,H,379,6/1/2019,6/1/2027,2500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875,1,0.95,0.8546221765913757,0.900263440860215,0.9023462270133165,0.7659735272734242,0.9432551528435356,0.8355776264411039,0.7930611547944293,0.9876965811965812,0.9176718504024665,0.9906738230172356,0.737679523612131,0.5771360123647604,0.5785897435897436,0.7082363636363637,0.5340729001584786,0.15898373983739839,0.8683923280835801,0.8929381276320052,0.7775027199570559,0.7580470853480161,0.8266127222961756,0.8388524590163935,0.7871439142625584,0.5688055555555556,0.7981370143149285,0.8302449725776966,0.7706333474050009,0.7605177022311854,0.7525496676092014,0.7667635965606372,0.7973585886189934,0.8276515063967741,0.6444633384390387,0.8005891631495929,0.9759035193817802,0.9611682941849212,0.838297864235951,0.7444286662123336,0.7696944094397984,0.738417557210401
Eesti,Estonia,EE,EST,EST,Online,Ipsos,H,821,1/1/2021,1/1/2026,1000,1,1,1,1,0.9375,1,1,1,1,1,1,1,1,1,0.875,0.95,0.9333333333333333,0.8579075630252101,0.8142363636363636,0.8073470917161469,0.6770776800897284,0.9158440059425448,0.6323945297755581,0.7486467225947478,0.9347090909090908,0.7961134483046833,0.8605177040382224,0.7474587960421681,0.6892402234636872,1,0.7061304347826086,0.8547486033519553,0.13032727272727274,0.7051954127269892,0.7034337544541627,0.7614929639172571,0.7246791167345946,0.7697733216142019,0.8378784956605593,0.7867825096140151,0.6225444444444445,0.8703333333333333,0.783125,0.8481258541029478,0.7292900919305414,0.8194710543025149,0.7793983512926383,0.7454417507636392,0.7353118396925861,0.5370110146350443,0.7772767966143078,0.7012254490515359,0.851709493989779,0.7652717500646681,0.7753248585758815,0.7905376019329508,0.8319264713844822
Ελλαδα,Greece,EL,GRC,GRC,Face-to-Face,D3,H,794,6/1/2023,6/1/2027,2000,1,1,1,1,0.9375,1,1,0.875,0.75,0.75,1,1,1,1,0.6875,0.875,0.85,0.5768373786407767,0.6656128205128206,0.6601646176220989,0.49542587222338486,0.5502289747319649,0.5851620273689899,0.6698906814501059,0.6203731343283583,0.6444418724447546,0.5646381125330869,0.5390637591752316,0.3902800608828006,0.6218905472636815,0.46351789077212807,0.628030303030303,0.04071544715447155,0.581065512915696,0.5910800709765072,0.6283383578648697,0.44362535086423405,0.5450944738714523,0.5907564402810305,0.703299402636175,0.31095288753799394,0.6047593052109181,0.6443060796645702,0.5951096343621904,0.5685003509294974,0.5803203878593511,0.6006571037831887,0.519018640702069,0.7476375194153676,0.24795613562293153,0.5723887278023491,0.4517775400319203,0.5922297468034569,0.527603451343405,0.5219906017413494,0.48515809656038744,0.5698702734096048
España,Spain,ES,ESP,ESP,Online,Ipsos,H,1338,1/1/2020,1/1/2024,3500,1,1,1,1,1,1,1,0.875,0.75,1,0.9166666666666666,0.75,1,1,0.8125,0.925,0.8833333333333333,0.5034928131416838,0.4605879732739421,0.5290980737715044,0.4467050573113121,0.5267070442010305,0.40300813973918403,0.42305622485600997,0.6561082802547771,0.40889495151827265,0.4475672715413537,0.47105509259162837,0.2566319350473613,0.5222222222222223,0.25945373665480426,0.25270661157024793,0.07471544715447155,0.31251957495525245,0.3305805431655772,0.4620362715395049,0.27953935262731167,0.3337828112374672,0.5567328561533134,0.43507683669805997,0.2381368563685637,0.46240495867768594,0.4289591836734694,0.47587932627302704,0.48286357138864267,0.5069359505884744,0.4224861799240656,0.32937529804482596,0.4940015315894169,0.3359431564797747,0.6023267763655176,0.7257295518165083,0.7354686517945327,0.4360427606805312,0.44677868108092467,0.46975821336286455,0.5056021339523424
