"","Country","VDM_v2x_liberal","VDM_v2xlg_legcon","VDM_v2psoppaut","VDM_v2cltrnslw","VDM_v2lgqstexp","VDM_v2lginvstp","VDM_v2lgoppart","VDM_v2x_jucon","VDM_v2juhcind","VDM_v2juncind","VDM_v2lgotovst","VDM_v2x_polyarchy","VDM_v2x_suffr","VDM_v2xel_frefair","VDM_v2x_elecoff","VDM_v2xdd_dd","VDM_v2elembaut","VDM_v2elembcap","VDM_v2elrgstry","VDM_v2elvotbuy","VDM_v2elirreg","VDM_v2elintim","VDM_v2elpeace","VDM_v2x_libdem","VDM_v2x_freexp_altinf","VDM_v2x_frassoc_thick","VDM_v2merange","VDM_v2meslfcen","VDM_v2mecrit","VDM_v2cldiscm","VDM_v2cldiscw","VDM_v2psbars","VDM_v2cscnsult","VDM_v2exrescon","VDM_v2jucomp","VDM_v2juhccomp","VDM_v2mecenefm","VDM_v2meharjrn","VDM_v2cseeorgs","VDM_v2csreprss","VDM_v2cltort","VDM_v2clkill","VDM_v2clslavem","VDM_v2clslavef","VDM_v2clprptym","VDM_v2clprptyw","VDM_v2clrelig","VDM_v2xcl_rol","VDM_v2csgender","VDM_v2clacjust","VDM_v2clsocgrp","VDM_v2pepwrgen","VDM_v2pepwrses","VDM_v2pepwrsoc","VDM_v2clfmove","VDM_v2cldmovem","VDM_v2cldmovew","VDM_v2clacjstm","VDM_v2clacjstw","VDM_v2caassemb","VDM_v2jupoatck","VDM_v2exbribe","VDM_v2lgcrrpt","VDM_v2exembez","VDM_v2elffelr","VDM_v2clrspct"
"1","AT",0.889,0.843,0.898418114143921,0.598088895323585,0.778017706758799,0.61786068009244,0.75,0.936,0.881978379979268,0.930670339761249,0.68695652173913,0.791666666666667,1,0.927333333333333,1,0.093,0.735874642157601,0.818345618345618,0.747764334560758,0.838399384378607,0.918181818181818,0.902617307238859,0.857177263969171,0.697333333333333,0.872,0.862,0.782924107142857,0.50816,0.891365777080063,0.779715961716579,0.733932508054943,0.937389510901591,0.82200328407225,0.758259045621395,0.795285171102662,0.752527538856194,0.712762621511446,0.769997026464466,0.731850675138999,0.884896289804265,0.81072226358898,0.92265282957678,0.900211565585331,0.882928665537361,0.816709844559586,0.801217706104986,0.693460925039872,0.915,0.905364062818682,0.967485299204428,0.844680508610977,0.802278401997503,0.630551301684533,0.751119960179194,0.884704429695941,0.808058608058608,0.850159700041661,0.635243882410905,0.715529523507994,0.999691358024691,0.618650900295619,0.585512782838672,0.562804136253041,0.638634713144517,0.874034368595302,0.633652678450951
"2","BE",0.937,0.94,0.913151364764268,0.768350948313305,0.816670265601382,0.838065368108287,0.714621059691482,0.915,0.765733747963868,0.900979491888583,0.857565217391304,0.887,1,0.966,1,0.017,0.847822811511225,0.807534807534807,NA,NA,NA,NA,NA,0.825,0.97,0.892,0.940104166666667,0.9888,0.880533751962323,0.879283729546156,0.902662370696965,0.936652916912198,0.82512315270936,0.800734137388568,0.751634980988593,0.769578995020371,1,0.750966399048469,0.764416203335981,0.963920537540169,0.90915860014892,0.96286687206097,0.876586741889986,0.846226237530585,0.945919689119171,0.957051176567385,0.860925039872408,0.978,0.964715480318173,0.872362504323763,0.878158699501046,0.791666666666667,0.858920367534456,0.804878048780488,0.727890106497916,0.966593406593407,0.970698514095265,0.918213171292495,0.923856260883331,0.902777777777778,0.857968288094598,0.899794299147811,0.725212895377129,0.902251270878722,0.916128015134794,0.835244906220483
"3","BU",0.905,0.955,0.845998759305211,0.518025191834371,0.923126754480674,0.802410036315616,0.909289067739772,0.879,0.705908485117725,0.702020202020202,0.819130434782609,0.6895,1,0.785333333333333,1,0.3,0.65752599065843,0.655200655200655,0.632824829037349,0.300500192381685,0.538266384778013,0.86889884461212,0.93111753371869,0.614,0.806,0.855,0.705915178571429,0.56512,0.644740973312402,0.701759802408151,0.904018992708157,0.87286387743076,0.561904761904762,0.673483656703374,0.781596958174905,0.872340425531915,0.698651614926309,0.514272970561998,0.777124702144559,0.824423020742039,0.80282948622487,0.848224420301605,0.944287729196051,0.763598720120459,0.890867875647668,0.848444956392957,0.783732057416268,0.906,0.961452172139506,0.762538913870633,0.584097859327217,0.671660424469413,0.72166921898928,0.675792268126763,0.921438493594691,0.915018315018315,0.913484238300236,0.640827722121859,0.637961057463986,0.790895061728395,0.420720236495566,0.597854833970026,0.444799270072993,0.657371096586783,0.632035314519943,0.560922952368102
"4","CY",0.819,0.752,0.875155086848635,0.654119009700304,0.523429064996761,0.497854077253219,0.740610328638498,0.812,0.64075225825559,0.69880624426079,0.716695652173913,0.777,1,0.912,1,0,0.840891969263221,0.664373464373464,NA,NA,NA,NA,NA,0.644,0.831,0.885,0.821056547619048,0.60832,0.671428571428571,0.80379746835443,0.835848736645752,0.916912197996464,0.740394088669951,0.704946687642021,0.749201520912548,0.711181530104119,0.596111633740985,0.590990187332739,0.800953137410643,0.810546304411335,0.83752792256143,1,0.763928067700987,0.727649162431771,0.771049222797928,0.755965114365641,0.760925039872408,0.923,0.715480318172547,0.759252853683847,0.684371479156607,0.70958177278402,0.877105666156202,0.647254023560644,0.816484025312548,0.879120879120879,0.74281349812526,0.778781409098374,0.708722494855153,0.844444444444444,0.656275194840097,0.565089626799883,0.486465936739659,0.671750181554103,0.883651269115561,0.656726487653488
"5","CZ",0.929,0.937,0.87856699751861,0.73114231938613,0.955517166918592,0.762297788048861,0.81757209926224,0.892,0.7919443210425,0.805938169574533,0.801217391304348,0.853,1,0.95,1,0.021,0.747777610366129,0.891236691236691,NA,NA,NA,NA,NA,0.784,0.939,0.88,0.956659226190476,0.75216,0.717582417582417,0.87665946279716,0.992199423435645,0.913818503241013,0.610344827586207,0.679776262891103,0.72106463878327,0.805190885770333,0.737848855440577,0.745316681534344,0.823351866560763,0.924627519719544,0.942367833209233,0.984271120479974,0.946050775740479,0.875211744776962,0.929566062176166,0.904558170149745,0.83030303030303,0.98,0.926779522741179,0.897786233137323,0.81039755351682,0.630149812734082,0.764931087289433,0.74896299983408,0.94690538663374,0.947399267399267,0.966254686849049,0.918213171292495,0.888079784707931,1,0.58546089760817,0.504407875404055,0.630322384428224,0.607843137254902,0.850859214882548,0.809472405883147
"6","DE",0.96,0.981,0.892834987593052,0.919067612566961,0.963722738069531,0.92786398151205,0.951542588866532,0.925,0.77358211165408,0.8270584634221,0.882782608695652,0.857,1,0.95,1,0.011,1,0.925798525798526,NA,NA,NA,NA,NA,0.807,0.942,0.877,0.74609375,0.69632,1,0.963414634146341,0.948957096828896,0.941072480848556,0.999178981937603,0.969410942142982,0.802737642585551,0.778934661234344,0.886171213546566,0.787392209336901,0.698649722001588,1,0.826209977661951,0.996756932057727,0.818229901269393,0.834368530020704,0.996599740932642,1,0.897448165869219,0.989,0.924332041607179,0.914389484607402,1,0.847066167290886,0.83135528330781,0.870748299319728,0.977928692699491,0.954285714285714,0.964449382030274,0.97043849564789,0.925755896786449,0.957253086419753,0.914135984950282,0.756244490155745,0.71426399026764,0.99680464778504,1,1
"7","DK",0.983,0.984,0.890818858560794,0.940929491819893,0.966745843230404,0.958237041928029,0.901073105298457,0.988,0.916777728417,1,0.975652173913043,0.918333333333333,1,0.959333333333333,1,0.185,0.872834111797499,0.899426699426699,0.888742766964755,0.848403232012312,0.999577167019027,0.954020278236265,0.867774566473988,0.891,0.986,0.929666666666667,0.988467261904762,1,0.943642072213501,0.983328187712257,0.991860267932847,0.928845020624632,0.83743842364532,0.807026743576298,1,1,0.967231106930072,1,0.974583002382843,0.950920245398773,0.803127326880119,0.995621858277931,0.8799365303244,0.906455862977602,0.938309585492228,0.930722395919039,0.925996810207337,0.988,0.967366918213339,0.99325492909028,0.761789795589892,0.941791510611735,0.801301684532925,1,0.919277666306529,0.908571428571429,0.93487015692265,1,1,0.925,0.83848427841978,1,1,1,0.883020652688003,0.892592092834975
"8","EE",0.961,0.969,0.898573200992556,0.815404661937165,0.941481321528827,0.800099042588313,0.906606304493628,0.958,0.804827484081149,0.883991429445975,0.957739130434783,0.893,1,0.959,1,0.038,0.896188036763598,0.866011466011466,NA,NA,NA,NA,NA,0.847,0.97,0.911,0.995535714285714,0.9024,0.914599686028257,0.769990737882062,0.750381549940648,0.809516794342958,0.775533661740558,0.813494144380353,0.892623574144487,0.883054172325336,0.940420194418313,0.877936366339578,0.97077045274027,0.982763657610283,0.906775874906925,0.938219555699692,0.986071932299013,0.957651044607566,0.905764248704663,0.880862267566233,0.891228070175439,0.975,0.939016928411177,0.800588031822899,0.663125704168679,0.853776529338327,0.776607963246554,0.632984901277584,0.922827596851366,0.935677655677656,0.950979030690182,0.740022992281163,0.729301883805604,0.962037037037037,0.8873958613276,0.808404349103732,0.684762773722628,0.76877269426289,0.895160018918493,0.897044933207394
"9","EL",0.739,0.651,0.959212158808933,0.675401766324019,0.698769164327359,0.383624958732255,0.710764587525151,0.65,0.571153561380127,0.611264156718702,0.559130434782609,0.783,1,0.952,1,0.164,0.779418411933102,0.778214578214578,NA,NA,NA,NA,NA,0.6,0.826,0.855,0.772879464285714,0.70144,0.6861852433281,0.807502315529484,0.833813803628964,0.774602239245728,0.547619047619048,0.877643768571928,0.603954372623574,0.551229817413611,0.63327061774851,0.573892358013678,0.91517077045274,0.810546304411335,0.693968726731199,0.889411383168477,0.783850493653032,0.907020515716168,0.883581606217616,0.876419285831825,0.63524720893142,0.934,0.962879869467673,0.700622621930128,0.644455174633832,0.772940074906367,0.926301684532925,0.697859631657541,1,0.888937728937729,0.936536592139981,0.82690096896042,0.707614373911667,0.917438271604938,0.586535877452298,0.429767851895386,0.453467153284672,0.678721859114016,0.964685480056755,0.64309809742275
"10","ES",0.91,0.832,0.920440446650124,0.810626900246127,0.716044050960916,0.598217233410366,0.780348759221999,0.936,0.758921960610099,0.742883379247016,0.713565217391304,0.873,1,0.973,1,0.046,0.819496760584601,0.960851760851761,NA,NA,NA,NA,NA,0.791,0.904,0.924,0.777529761904762,0.78592,0.744740973312402,0.863538129052177,0.92419874512464,0.89510901591043,0.799671592775041,0.746897395560217,0.87574144486692,0.937830089029727,0.753057384760113,0.688522152839727,0.966004765687053,0.968448729184926,0.883246463142219,0.96773147397438,0.914668547249647,0.847543760587239,0.957739637305699,0.963633371729472,0.818022328548644,0.977,0.97817662655517,0.652023521272916,0.673104780299372,0.663857677902622,0.723009188361409,0.720590675294508,0.929618768328446,0.888058608058608,0.943896681016525,0.867465922154705,0.85784391324996,0.940123456790123,0.619591507659231,0.716867469879518,0.634124087591241,0.801161946259985,0.883966577329339,0.78815274591823
