"","Country","SPE_534_QA2","SPE_534_QA6","SPE_534_QA15_4","SPE_534_QA15_7","SPE_534_QA15_10","SPE_534_QA15_11","SPE_534_QA15_13"
"1","AT",0.940058479532164,0.40625,0.791709844559585,0.563562453806356,0.604303428154632,0.523451485857501,0.56390134529148
"2","BE",0.964512040557668,0.352260778128286,0.812841530054645,0.583333333333333,0.638074556641332,0.492647058823529,0.553829078801332
"3","BU",0.937238493723849,0.308379888268156,0.654545454545455,0.751152073732719,0.745994529112935,0.318560606060606,0.747034060466896
"4","CY",0.987179487179487,0.217640918580376,0.449158249158249,0.773224043715847,0.764539007092199,0.257044673539519,0.792717086834734
"5","CZ",0.949004975124378,0.391025641025641,0.755873340143003,0.679902473005921,0.643249176728869,0.52060737527115,0.608050019538882
"6","DE",0.97770154373928,0.34254498714653,0.885370051635112,0.613449827905745,0.656082679616486,0.550958134993287,0.620264779132258
"7","DK",0.994246260069045,0.429887410440123,0.935678391959799,0.5,0.605592347314202,0.789291882556131,0.428282828282828
"8","EE",0.962386511024643,0.483193277310924,0.761852260198456,0.584208479190976,0.669444444444444,0.535444947209653,0.553603603603604
"9","EL",0.85982905982906,0.285678137651822,0.461970899470899,0.717871485943775,0.753760055963624,0.309134287661895,0.756239316239316
"10","ES",0.995079950799508,0.304597701149425,0.579770594369134,0.659251412429379,0.741702741702742,0.49223546406645,0.607994132746608
"11","FI",0.992917847025496,0.475238663484487,0.901696088611976,0.45050505050505,0.423841059602649,0.756088695019993,0.397521027003099
"12","FR",0.970518867924528,0.32502679528403,0.872406639004149,0.693348365276212,0.70403926009815,0.465074194715889,0.638588046530285
"13","HR",0.928571428571429,0.234657947686117,0.47437220502236,0.727918781725888,0.66286701208981,0.275041876046901,0.638290598290598
"14","HU",0.959537572254335,0.330402010050251,0.755443886097152,0.616683552853766,0.612535612535613,0.391142663962137,0.591129591129591
"15","IE",0.979702300405954,0.370021528525296,0.762111352133044,0.598511555033294,0.584699453551913,0.490944123314066,0.524927894519983
"16","IT",0.972779369627507,0.393939393939394,0.673659673659674,0.60792349726776,0.608187134502924,0.373360242179617,0.520833333333333
"17","LT",0.956852791878173,0.481511254019293,0.773735273735274,0.637961966271977,0.661495624502784,0.355555555555556,0.612128612128612
"18","LU",0.956310679611651,0.43436754176611,0.860369609856263,0.491358024691358,0.524497991967872,0.491304347826087,0.497105045492142
"19","LV",0.955808080808081,0.437576126674787,0.802663862600771,0.695315524583817,0.66128364389234,0.493699885452463,0.620309050772627
"20","MT",0.981770833333333,0.181451612903226,0.394059405940594,0.734543010752688,0.835058661145618,0.415488215488215,0.737099023709902
"21","NL",0.994832041343669,0.354912998976459,0.931520644511581,0.571965426531379,0.606447042153737,0.745998608211552,0.462509279881217
"22","PL",0.978494623655914,0.472959183673469,0.588090204369274,0.589522784355938,0.59662090813094,0.393971258324571,0.534159159159159
"23","PT",0.983204134366925,0.258937960042061,0.474747474747475,0.658721934369603,0.697206703910614,0.348650619985412,0.634480207177211
"24","RO",0.909274193548387,0.396067415730337,0.488119484046164,0.610658520027155,0.586345381526104,0.431739431739432,0.551625580564487
"25","SE",0.995951417004049,0.379736842105263,0.887314439946019,0.537489812550937,0.549041297935103,0.790349983010533,0.388308168795974
"26","SI",0.984722222222222,0.302824267782427,0.691015089163237,0.703312191684285,0.624816446402349,0.413305756635643,0.605927552140505
"27","SK",0.976279650436954,0.386772486772487,0.597222222222222,0.640453418349274,0.685890042291426,0.417223459539718,0.597967479674797
