"","Country","qb1_1","qb1_2","qb1_3","qb1_4","qb1_5","qb3_1","qb3_2","qb3_3","qb5_1","qb5_2","qb5_3","qb5_4"
"1","AT",0.585757271815446,0.55290215588723,0.522423025435074,0.592704149933066,0.552525252525253,0.440536013400335,0.496646545942321,0.528862195528862,0.824503311258278,0.671186440677966,0.679329608938547,0.711864406779661
"2","BE",0.511836212412028,0.451695457453615,0.382277671145234,0.416506717850288,0.374920025591811,0.373640435060781,0.421305182341651,0.477927063339731,0.821497120921305,0.404030710172745,0.477927063339731,0.519193857965451
"3","BU",0.425479930191972,0.313212608987257,0.38287795992714,0.334676065793891,0.398459383753501,0.348561759729272,0.394202898550725,0.442141623488774,0.72459499263623,0.434965034965035,0.502816901408451,0.553284671532847
"4","CY",0.549511854951185,0.519137091162143,0.491039426523297,0.49375,0.485367594575303,0.303092783505155,0.375446109921485,0.397489539748954,0.807588075880759,0.510810810810811,0.60655737704918,0.681198910081744
"5","CZ",0.375318066157761,0.28757546870035,0.276771528439784,0.279047619047619,0.277089291388624,0.397460317460317,0.296507936507936,0.37968253968254,0.617731172545281,0.22952380952381,0.273854961832061,0.398095238095238
"6","DE",0.661691542288557,0.611857538920879,0.522215067611075,0.605785837651123,0.53685794111326,0.471308833010961,0.51270553064275,0.597071928707829,0.820618556701031,0.610014104372355,0.612074947952811,0.673198040587824
"7","DK",0.642741674749434,0.599485695917711,0.501131587455545,0.565607956368303,0.504807692307692,0.426602564102564,0.480089916506101,0.564423076923077,0.711864406779661,0.376008064516129,0.444444444444444,0.551688843398158
"8","EE",0.536303630363036,0.471480382459611,0.411473788328388,0.439828552588196,0.482838283828383,0.470161556214969,0.483349818661391,0.571381470491263,0.431119920713578,0.147524752475248,0.161386138613861,0.236633663366337
"9","ES",0.527272727272727,0.432,0.416666666666667,0.457411133467471,0.481631277384564,0.328995662328996,0.397306397306397,0.450822423632091,0.743558282208589,0.431034482758621,0.538840937114673,0.591304347826087
"10","FI",0.587659157688541,0.542931766242246,0.4273587985635,0.515507672216781,0.470780280770486,0.365622961513372,0.41617742987606,0.513548808357819,0.853228962818004,0.467710371819961,0.531311154598826,0.617416829745597
"11","FR",0.511347517730496,0.452059536171686,0.438485804416404,0.467702936096718,0.453586497890295,0.323731138545953,0.358762886597938,0.406303528605687,0.754651162790698,0.302923976608187,0.451003541912633,0.559905100830368
"12","EL",0.470722930978083,0.451485148514851,0.461433910975195,0.437233693870862,0.433299899699097,0.287154471544715,0.356831151393085,0.350360183366077,0.742338251986379,0.326857142857143,0.500568828213879,0.659840728100114
"13","HR",0.411992263056093,0.39820166987797,0.437116068541869,0.422842476740456,0.43733850129199,0.386217948717949,0.42903018625562,0.42409715564078,0.657476139978791,0.344295991778006,0.46972860125261,0.514767932489452
"14","HU",0.364970645792564,0.312845528455285,0.35460285809239,0.437581699346405,0.357469015003262,0.385214007782101,0.353135313531353,0.372395833333333,0.649122807017544,0.502930832356389,0.509324009324009,0.645123384253819
"15","IE",0.464376590330789,0.435114503816794,0.358142493638677,0.438195106450588,0.358142493638677,0.319987289482046,0.323164918970448,0.373091603053435,0.680648236415634,0.330152671755725,0.367969494756911,0.499045801526718
"16","IT",0.498432601880878,0.421923474663909,0.404661016949153,0.42702890978753,0.421310900806169,0.346924906557934,0.37991718426501,0.377960865087539,0.820093457943925,0.651764705882353,0.724586288416076,0.746478873239437
"17","LT",0.3457260883381,0.274229424849063,0.276771528439784,0.380362249761678,0.30791229742612,0.381951064505879,0.3069590085796,0.414440203562341,0.702005730659026,0.275334608030593,0.288443170964661,0.361986628462273
"18","LU",0.546666666666667,0.507272727272727,0.427272727272727,0.472727272727273,0.427272727272727,0.37030303030303,0.41030303030303,0.473333333333333,0.683636363636364,0.257299270072993,0.347349177330896,0.425182481751825
"19","LV",0.44983164983165,0.320039880358923,0.379239465570401,0.434680134680135,0.402010050251256,0.369853917662683,0.352882703777336,0.382323733862959,0.634361233480176,0.238199780461032,0.275599128540305,0.365342163355408
"20","MT",0.447239692522711,0.445842068483578,0.447154471544715,0.414752957550452,0.486291486291486,0.28581126951799,0.308176100628931,0.316804407713499,0.591240875912409,0.202898550724638,0.32518337408313,0.411027568922306
"21","NL",0.716551040634291,0.615535889872173,0.436250409701737,0.537960247637667,0.431506849315068,0.42843137254902,0.440955184821721,0.548387096774194,0.85207100591716,0.513650151668352,0.602373887240356,0.695344129554656
"22","PL",0.387163561076605,0.354849726775956,0.364799446749654,0.363480644056184,0.370293609671848,0.315415821501014,0.324838600067958,0.327229569345541,0.629911280101394,0.498122653316646,0.520702634880803,0.573062261753494
"23","PT",0.468157181571816,0.433131720430108,0.450136612021858,0.465459423205902,0.46998982706002,0.328015952143569,0.385893523228213,0.396872920825017,0.852103120759837,0.599726775956284,0.726775956284153,0.759945130315501
"24","RO",0.339233038348083,0.316063864450961,0.32516339869281,0.34832192896709,0.319567354965585,0.318033854166667,0.298366013071895,0.313052011776251,0.607512953367876,0.497416020671835,0.575718015665796,0.578811369509044
"25","SE",0.721194417396949,0.619323671497584,0.490651192778852,0.562560620756547,0.462729912875121,0.42903018625562,0.494363929146538,0.567437379576108,0.596899224806202,0.348973607038123,0.393731635651322,0.525490196078431
"26","SI",0.489573307667629,0.396931927133269,0.39513288504643,0.367816091954023,0.380998080614203,0.346424010217114,0.360153256704981,0.430035222542427,0.652131782945736,0.3378509196515,0.424564796905222,0.450581395348837
"27","SK",0.474541751527495,0.41240157480315,0.413967611336032,0.410487641950568,0.405884319625543,0.353674540682415,0.37986798679868,0.390466862553053,0.443236714975845,0.225609756097561,0.345919610231425,0.361858190709046
